City,Region,Country,"Internet Price, 2010","Internet Price, 2011","Internet Price, 2012","Internet Price, 2013","Internet Price, 2014","Internet Price, 2015","Internet Price, 2016","Internet Price, 2017","Internet Price, 2018","Internet Price, 2019","Internet Price, 2020"
Victoria,British Columbia,Canada,0.0,0.0,44.150485436893206,0.0,46.8337325717094,46.4080721574344,51.844326351984996,53.517346931430595,61.2698800006015,57.72969792845671,59.5772295724509
Winnipeg,Manitoba,Canada,33.974358974359,41.237113402061894,48.048543689320404,46.15384615384621,45.69743873226461,47.7105351068999,46.3799828750832,48.9983912194883,57.5265150362401,51.8222764835285,62.1008065456071
Fredericton,New Brunswick,Canada,0.0,0.0,0.0,0.0,59.885756403169296,52.48193027210879,0.0,0.0,62.046276953280895,0.0,56.45527867782471
Halifax,Nova Scotia,Canada,48.0769230769231,59.2783505154639,46.1165048543689,53.205128205128204,61.8113138013636,58.70478771865889,61.312638460388406,63.10349375852061,67.4518989765782,68.1368842650797,73.14828507074759
Quebec City,Quebec,Canada,0.0,0.0,50.0873786407767,0.0,0.0,41.9323979591837,40.3915286026883,48.715351270209105,47.0749116187827,49.0973530825061,52.6673115923448
Birmingham,England,United Kingdom,0.0,22.122950819672102,30.7692307692308,0.0,0.0,32.7883091220985,27.3062551560149,32.660833616491104,39.6668610624184,38.169868554095004,34.3272269392923
Minsk,,Belarus,0.0,0.0,19.1,18.8905975392103,20.0733349870915,11.9842949796099,9.594248844206382,12.551527905449099,14.1238910399723,14.1970971318507,12.0406692130423
Nassau,,The Bahamas,0.0,0.0,0.0,0.0,0.0,37.5,38.8,0.0,69.28571428571429,71.3125,51.2475
Naples,Campania,Italy,0.0,0.0,39.0946502057613,0.0,0.0,0.0,26.7907821546146,33.363188535602305,30.681685475566102,34.561627377674306,32.0093879359679
Palermo,Sicily,Italy,0.0,0.0,0.0,0.0,0.0,0.0,30.1963900556249,31.7211524108076,0.0,29.3827934361638,0.0
Parma,Emilia-Romagna,Italy,0.0,0.0,0.0,0.0,0.0,0.0,29.677440280232897,0.0,33.366143374318106,34.5131224488273,0.0
Augsburg,Bavaria,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6988205068317,36.8264344399919,0.0
Madrid,Community of Madrid,Spain,49.38271604938271,51.1272141706924,39.986282578875205,45.8522727272727,47.9966352874232,36.596409055425404,38.975110231779496,41.116760183697295,49.20150648137339,46.8194231255278,46.8637889035909
Freiburg im Breisgau,Baden-Wurttemberg,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8414688759516,0.0,0.0,0.0
Bogota,,Colombia,0.0,27.254333333333303,45.8885119713583,36.8227248816412,37.1779969277666,31.0874578347354,26.4363598861831,33.8644837726031,34.9595350135204,31.6721198259262,28.2804023500812
Brasilia,Federal District,Brazil,0.0,44.8101265822785,44.322660098522206,26.4797507788162,33.4313849998112,22.0345777352489,25.8206288365659,36.1399228441471,35.82513411071229,32.4278870655387,21.223712838378397
Lima,Lima region,Peru,0.0,0.0,46.25,60.3233830845771,63.199711087035,41.940343689060704,46.4195338512764,43.3518929101906,38.0556199974144,37.5741399762752,32.5815093555396
Santiago,Santiago Metropolitan Region,Chile,53.7592,40.75,40.066615176675,36.615405099527294,47.9279110254019,36.3004721904136,34.4762775464646,40.2065492909502,41.3433917810702,35.94100181700421,31.6458163290262
Quito,Pichincha Province,Ecuador,0.0,47.0,48.71428571428571,60.0,38.3333333333333,36.2142857142857,33.4678176222313,36.1428571428571,38.2,40.925925925925895,39.5909090909091
Asuncion,Capital District,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,50.2831430435274,45.231441673831995,32.865484099067004,29.302861557342,33.064335550854395
Heidelberg,Baden-Wurttemberg,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.213912524257395,31.920277161431,36.9361302021536,0.0
Paramaribo,Paramaribo District,Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7346192218158,27.785216925549,31.9125435773666,0.0
Kathmandu,Bagmati,Nepal,0.0,0.0,26.7351184887253,29.290336978353,11.362918509159801,53.3590961680564,22.8088621409715,19.632653201151896,18.4993635637931,18.3608116928306,17.3464501612011
San Jose,San Jose Province,Costa Rica,0.0,47.5,51.922503446917496,0.0,54.1422027906755,42.286059926620496,43.8108660094904,54.612036489497605,77.48983372415009,67.8359337597131,57.4075180458141
San Salvador,San Salvador Department,El Salvador,0.0,0.0,0.0,0.0,48.3333333333333,50.8,45.4,61.0,46.8888888888889,46.6666666666667,46.625
Canberra,Australian Capital Territory,Australia,42.3728813559322,53.1914893617021,67.9611650485437,51.2820512820513,62.9362214199759,52.7597155677238,52.856433184302,57.1976034204167,53.066656400571006,53.45267020379829,50.8575378074648
Sydney,,Australia,42.362288135593204,63.062310030395096,54.1601941747573,61.538461538461505,60.984693794207494,53.0054134776927,48.708224129365995,52.8978625269285,52.3018888861211,48.3993026048586,49.9682512575595
Melbourne,Victoria,Australia,29.081920903954803,53.1914893617021,50.8629989212514,62.22527472527471,63.2047597376059,50.882875395195704,52.3836841353123,55.05544317693089,53.22706414573629,48.623478800500706,47.9214010440059
Perth,Western Australia,Australia,56.2146892655367,63.8297872340426,66.901147396293,69.5336538461538,71.19858681230521,56.6039785752311,54.24739195231,56.7859540018607,54.9155486675726,49.0507681908694,48.589321913386
Tegucigalpa,Francisco Morazan Department,Honduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5555555555556,69.28571428571429,0.0
Managua,Managua Department,Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1394338138356,62.5483034665251,0.0
Panama City,Panama Province,Panama,0.0,34.99,40.0,38.996666666666705,34.991666666666696,42.595,39.3691581895916,46.4782608695652,55.15384615384621,46.2760869565217,46.427619047619
Zadar,Zadar County,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0729317135995,0.0
Trento,Trentino-South Tyrol,Italy,0.0,0.0,0.0,0.0,36.286116024856,0.0,28.663866500170304,0.0,0.0,0.0,0.0
Voronezh,Voronezh Oblast,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47698580248321,7.19293682091065,5.647778205418001,4.9892161656305705
Bari,Apulia,Italy,0.0,0.0,0.0,0.0,0.0,0.0,24.974457940742397,0.0,0.0,30.2223018200542,0.0
